id,code,char
0,48,0
1,49,1
2,50,2
3,51,3
4,52,4
5,53,5
6,54,6
7,55,7
8,56,8
9,57,9
10,250,.
11,45,-
12,43,+
13,119,w
14,120,x
15,88,X
16,122,z
17,47,/
18,61,=
